City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kudahuvadhoo,2.6708,72.8944,27.69,77,32,4.88,MV,1706721023
83,longyearbyen,78.2186,15.6401,-9.09,62,75,9.77,SJ,1706721184
84,ilulissat,69.2167,-51.1,-20.99,49,20,1.03,GL,1706721237
85,buenaventura,3.8801,-77.0312,30.47,71,45,1.71,CO,1706721606
86,waitangi,-43.9535,-176.5597,17.68,98,100,1.34,NZ,1706720924
87,port alfred,-33.5906,26.891,24.92,83,99,10.71,ZA,1706721611
88,kavaratti,10.5669,72.642,27.74,69,59,3.59,IN,1706721251
89,al bardiyah,31.7561,25.0865,11.94,70,87,10.1,LY,1706721613
90,udachny,66.4167,112.4,-29.94,100,78,1.25,RU,1706721196
91,tara,56.8944,74.371,-14.25,94,100,2.32,RU,1706721034
92,najran,17.4924,44.1277,28.36,46,40,2.78,SA,1706721043
93,melekeok village,7.4957,134.6367,27.31,83,75,5.14,PW,1706721615
94,aasiaat,68.7098,-52.8699,-24.91,95,35,4.23,GL,1706721270
95,pisco,-13.7,-76.2167,26.68,73,0,4.12,PE,1706721616
96,vorgashor,67.5833,63.95,-16.11,97,99,5.27,RU,1706721244
97,jumla,29.2747,82.1838,0.18,91,51,2.63,NP,1706721617
98,agat village,13.3886,144.6585,26.06,75,20,5.66,GU,1706721618
99,champerico,14.3,-91.9167,32.3,63,32,3.38,GT,1706721618
100,belyy yar,53.6039,91.3903,-27.06,91,93,0.0,RU,1706721619
101,jiexiu,37.0244,111.9125,-2.31,90,100,3.75,CN,1706721620
102,wailua homesteads,22.0669,-159.378,20.44,91,75,2.06,US,1706721621
103,bonthe,7.5264,-12.505,29.72,66,86,5.76,SL,1706721621
104,yeed,4.55,43.0333,31.41,28,100,4.21,SO,1706721622
105,fort st. john,56.2499,-120.8529,-1.42,74,100,1.5,CA,1706720931
106,yellowknife,62.456,-114.3525,-11.99,93,100,2.57,CA,1706721232
107,pointe aux piments,-20.0628,57.5131,28.31,86,21,6.17,MU,1706721623
108,belokurikha,51.9959,84.9896,-10.0,87,99,2.66,RU,1706721624
109,bikenibeu village,1.3673,173.1241,28.98,84,75,2.06,KI,1706721625
110,cedeira,43.6797,-8.0209,14.35,73,0,0.41,ES,1706721625
111,shalkar,47.8288,59.6258,-2.73,94,100,9.13,KZ,1706721626
112,ocean shores,46.9737,-124.1563,12.2,96,100,4.12,US,1706721502
113,acarau,-2.8856,-40.12,31.92,59,40,7.87,BR,1706721292
114,samux,40.7647,46.4085,0.56,93,20,3.09,AZ,1706721628
115,haiku-pauwela,20.9219,-156.3051,21.13,86,40,2.68,US,1706721258
116,kurkino,53.4257,38.6582,-2.49,92,100,4.35,RU,1706721630
117,egilsstadir,65.2653,-14.3948,-2.05,59,20,11.83,IS,1706721630
118,kodiak,57.79,-152.4072,-17.27,71,20,2.06,US,1706721226
119,safford,32.834,-109.7076,16.73,56,75,4.12,US,1706721631
120,cafayate,-26.073,-65.9761,28.14,44,25,3.69,AR,1706721632
121,santana,-0.0583,-51.1817,33.1,62,40,4.12,BR,1706721633
122,port elizabeth,-33.918,25.5701,23.69,86,100,4.13,ZA,1706721201
123,lobujya,27.95,86.8167,-18.75,43,16,0.52,NP,1706721634
124,tromso,69.6496,18.957,-0.99,93,100,4.12,NO,1706721634
125,port hueneme,34.1478,-119.1951,19.84,76,100,2.06,US,1706721635
126,cabedelo,-6.9811,-34.8339,32.37,59,58,6.17,BR,1706721052
127,hawaiian paradise park,19.5933,-154.9731,20.73,98,100,2.57,US,1706721195
128,portland,45.5234,-122.6762,12.65,78,100,4.63,US,1706721146
129,severo-yeniseyskiy,60.3725,93.0408,-30.24,95,59,1.79,RU,1706721637
130,obihiro,42.9172,143.2044,-5.32,97,87,0.84,JP,1706721638
131,tolanaro,-25.0319,46.9987,23.82,87,98,6.57,MG,1706721231
132,anqing,30.5092,117.0506,10.82,96,100,2.16,CN,1706721639
133,arraial do cabo,-22.9661,-42.0278,27.92,83,75,3.6,BR,1706721187
134,roanoke rapids,36.4615,-77.6542,8.32,100,100,2.57,US,1706721640
135,coquimbo,-29.9533,-71.3436,21.18,75,19,3.47,CL,1706721151
136,north platte,41.1239,-100.7654,10.74,64,0,2.57,US,1706721641
137,linevo,54.4589,83.3764,-9.19,93,100,4.1,RU,1706721641
138,hadibu,12.65,54.0333,25.21,77,75,3.34,YE,1706721183
139,greenville,35.6127,-77.3663,9.09,83,100,4.12,US,1706721629
140,pameungpeuk,-7.0183,107.6039,22.61,90,100,1.05,ID,1706721643
141,qashar,53.3906,62.9297,-12.12,99,100,0.98,KZ,1706721643
142,warrnambool,-38.3833,142.4833,14.61,89,100,4.67,AU,1706721643
143,mahibadhoo,3.7833,72.9667,27.73,77,71,3.81,MV,1706721644
144,luebo,-5.35,21.4167,21.28,98,100,1.07,CD,1706721644
145,nelson bay,-32.7167,152.15,23.33,96,4,1.34,AU,1706721082
146,clarence-rockland,45.5501,-75.291,-1.95,80,100,1.88,CA,1706721646
147,yakeshi,49.2833,120.7333,-37.49,100,74,1.58,CN,1706721646
148,revda,56.801,59.9303,-8.89,98,98,1.84,RU,1706721647
149,chonchi,-42.6128,-73.8092,22.97,82,96,2.0,CL,1706721283
150,el molar,40.7322,-3.5797,12.87,88,64,0.51,ES,1706721647
151,al bawiti,28.3492,28.8659,11.0,41,84,5.37,EG,1706721648
152,bayganin,48.6947,55.8742,-5.04,92,96,7.43,KZ,1706721649
153,cannonvale,-20.2833,148.7,25.66,90,100,1.41,AU,1706721649
154,tucupita,9.0622,-62.051,35.02,39,70,3.39,VE,1706721650
155,las tablas,7.7667,-80.2833,29.82,62,37,8.47,PA,1706721120
156,buala,-8.145,159.5921,26.77,85,95,2.82,SB,1706721651
157,yelizovo,53.1873,158.3805,-16.22,55,0,5.0,RU,1706721651
158,talnakh,69.4865,88.3972,-22.99,75,36,4.24,RU,1706721257
159,hamilton,39.1834,-84.5333,5.11,85,100,3.6,US,1706721277
160,enewetak,11.3474,162.3373,26.05,79,100,9.91,MH,1706721653
161,koz'modem'yansk,56.3367,46.5711,-6.28,92,100,2.43,RU,1706721653
162,daru,-9.0763,143.2092,25.88,89,55,3.96,PG,1706721224
